leaid,leanm,grade,year,achv,achvz,math,rla,totenrl,perasn,perblk,perhsp,perind,perwht,perecd,perell,Hperasn,Hperblk,Hperhsp,Hperind,Hperwht,Hperecd,Hperell,LOCALE_VARS,Locale4,Locale3,BlackBeltSm,DIST_FACTORS,DiSTR,DiInstAid,DiGuidC,DiLib,DiAdmin,DiRevTotal,DiRevLocal,DiExpTotal,DiExpInst,DiExpSuppt,DiExpPupl,DiExpPlant,DiExpBus,DiSalAll,DiSalReg,DiSalInst,DiSalPlant,DiSalBus,DiSalPupl,hsecdnec,rsecdnec,COUNTY_FACTORS,CmPoverty,CmUnemp,CmSglPrnt,CmCollege,snapall,FoodDesert,CT_EconType,CT_LowEducation,CT_PopLoss,CT_RetireDest,CT_PersistPoverty,CT_PersistChildPoverty,HEALTH_FACTORS,H_FCTR_ZS,HBehaveZS,ClinCareZS,SocEcnZS,PhysEnvZS
100005,ALBERTVILLE CITY,4,2015,-.65497321,-.18645954,-.50200951,-.1529637,394,.0050314465,.035220128,.46163523,.0012578616,.49685535,.51406652,.12064451,0,0,0,0,0,1,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
100005,ALBERTVILLE CITY,5,2015,-1.0218675,-.72108424,-.64005166,-.38181591,382,.0068965522,.023448275,.40137932,.0013793105,.56689656,.49476439,.12064451,0,0,0,0,1,0,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
100005,ALBERTVILLE CITY,6,2015,-.70047706,-.25276607,-.41357985,-.28689721,366,.0068965517,.023448274,.40137932,.0013793104,.56689656,.45125347,.12064451,0,0,0,0,1,0,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
100005,ALBERTVILLE CITY,7,2015,-.83009344,-.44163823,-.36116409,-.46892935,338,.0030165915,.024132732,.39668176,.0030165915,.5731523,.47747749,.12064451,0,0,0,0,1,0,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
100005,ALBERTVILLE CITY,8,2015,-.66898358,-.20687494,-.4296051,-.23937845,339,.0030165915,.024132732,.39668176,.0030165915,.5731523,.45994064,.12064451,0,0,0,0,1,0,0,,Town,Sub/Twn,0,,.052359033,.0015343307,.0021097045,.0013425393,.0047947834,9550.249,2614.6912,8971.6152,4636.1719,2894.5146,564.25012,734.75256,406.7894,4450.3262,2137.7061,2833.1416,181.24281,190.64058,313.19525,0,0,,.41648173,.050391775,.20593464,.12912184,.20387141,1,Maufacturing,1,0,0,0,0,,-.0060881837,.66874623,.33464277,-.39647549,-1.2289759
100006,MARSHALL COUNTY,3,2010,-.13290943,.55432725,-.18805176,.055142324,416,0,.0048076925,.15384616,.0072115385,.83413464,.76997578,.065778084,0,0,0,0,1,1,0,,Rural,Rural,0,,.076402977,.010311021,.0025354971,.0021974307,.0035496957,9885.3955,2207.4036,9821.501,4931.5415,3307.9783,544.96283,863.75928,483.60379,5180.5273,2224.814,3209.2629,237.32251,231.57539,337.05206,.074460328,.088578545,,.25268587,.071826197,.13055947,.12133955,.099458359,0,Maufacturing,1,0,0,0,0,,-.067119166,-.0059585278,.60304284,-.19797352,-.52212757
100006,MARSHALL COUNTY,4,2010,-.10992032,.58605909,-.090550967,-.019369353,455,.0021978023,.013186813,.12967034,.0065934067,.84835166,.67320263,.065778084,0,0,0,0,1,1,0,,Rural,Rural,0,,.076402977,.010311021,.0025354971,.0021974307,.0035496957,9885.3955,2207.4036,9821.501,4931.5415,3307.9783,544.96283,863.75928,483.60379,5180.5273,2224.814,3209.2629,237.32251,231.57539,337.05206,.034620192,.043525703,,.25268587,.071826197,.13055947,.12133955,.099458359,0,Maufacturing,1,0,0,0,0,,-.067119166,-.0059585278,.60304284,-.19797352,-.52212757
100006,MARSHALL COUNTY,5,2010,-.40199861,.18290396,-.27008408,-.13191453,476,.0021008404,.014705882,.13445379,.0021008404,.84663868,.69017094,.065778084,0,0,0,0,1,1,0,,Rural,Rural,0,,.076402977,.010311021,.0025354971,.0021974307,.0035496957,9885.3955,2207.4036,9821.501,4931.5415,3307.9783,544.96283,863.75928,483.60379,5180.5273,2224.814,3209.2629,237.32251,231.57539,337.05206,.057750471,.067976072,,.25268587,.071826197,.13055947,.12133955,.099458359,0,Maufacturing,1,0,0,0,0,,-.067119166,-.0059585278,.60304284,-.19797352,-.52212757
100006,MARSHALL COUNTY,6,2010,-.57232404,-.052195903,-.38622022,-.18610381,478,.0020920502,.010460251,.12970711,.0020920502,.85564852,.68115944,.065778084,0,0,0,0,1,1,0,,Rural,Rural,0,,.076402977,.010311021,.0025354971,.0021974307,.0035496957,9885.3955,2207.4036,9821.501,4931.5415,3307.9783,544.96283,863.75928,483.60379,5180.5273,2224.814,3209.2629,237.32251,231.57539,337.05206,.047046278,.059387948,,.25268587,.071826197,.13055947,.12133955,.099458359,0,Maufacturing,1,0,0,0,0,,-.067119166,-.0059585278,.60304284,-.19797352,-.52212757
100006,MARSHALL COUNTY,7,2010,-.07149753,.639094,.04204306,-.11354059,434,.0023041475,.0092165899,.11059908,.0023041475,.87557602,.68618268,.065778084,0,0,0,0,1,1,0,,Rural,Rural,0,,.076402977,.010311021,.0025354971,.0021974307,.0035496957,9885.3955,2207.4036,9821.501,4931.5415,3307.9783,544.96283,863.75928,483.60379,5180.5273,2224.814,3209.2629,237.32251,231.57539,337.05206,.073263749,.092053093,,.25268587,.071826197,.13055947,.12133955,.099458359,0,Maufacturing,1,0,0,0,0,,-.067119166,-.0059585278,.60304284,-.19797352,-.52212757
